Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
West Virginia,2005,-85,1164,-128,-3,40,-352,-140,9,-389,-80,1619,13,65,-710,-267,-196,-116,-2759,108,-52,883,352,-6,-396,287,-367,165,-65,62,0,578,-303,509,535,33,885,133,122,1440,284,788,-202,-552,661,-53,-98,-2062,-398,0,34,8
Wisconsin,2005,1972,-629,-5601,-550,2785,-699,472,0,67,-5075,-2619,321,-318,13683,-472,-2531,266,-136,896,-58,-1040,340,1207,-241,-1431,-425,-615,81,654,49,382,-166,-1028,-307,-566,-635,715,252,1308,116,-497,344,-2158,-1666,-498,169,445,214,-34,0,501
Wyoming,2005,-168,-76,-229,137,1928,-1567,0,0,0,-318,0,58,-24,147,-48,-338,-710,37,101,0,-58,60,-6,-296,58,339,168,177,1044,-176,267,404,20,-1088,94,-169,-716,913,-127,-98,-287,236,-416,-737,784,-19,252,339,-8,-501,0
Alabama,2006,0,-359,-501,-867,1851,-127,-283,392,245,6243,6273,20,-117,3380,1627,153,-557,-596,7453,224,-747,33,1947,84,5401,165,-588,-58,-79,25,377,-896,2920,1429,249,2701,1244,71,-133,-98,-3100,53,803,-279,664,334,-1063,982,-839,-290,379
Alaska,2006,359,0,-2525,-248,-3023,-853,498,0,-288,-4055,-630,-1716,-333,-1393,317,268,-119,54,180,-101,-66,-791,-1017,-25,319,-913,448,573,-325,-426,-226,-1052,-1704,-31,-147,-189,-1063,1155,-1047,100,-1256,-116,-374,-2548,878,0,-2791,689,-780,439,163
Arizona,2006,501,2525,0,-3049,53582,-6684,1130,534,127,1637,-1940,1122,1490,3420,1103,3333,19,1695,2374,1266,1259,420,7820,2874,409,-1470,742,753,3877,757,1329,410,3367,-430,58,3330,-1795,-854,3218,14,-461,1607,-1311,-1511,232,-139,294,1895,36,2036,526
Arkansas,2006,867,248,3049,0,5432,873,50,-116,150,434,-1264,853,167,505,-335,214,-465,679,5730,-38,225,448,648,1672,259,2698,130,189,-128,-113,1435,1158,1215,-152,88,446,521,66,-518,0,745,-190,3264,297,278,87,96,163,709,-1814,-314
California,2006,-1851,3023,-53582,-5432,0,-18918,2869,1014,-628,-462,-11278,-38,-7051,9827,-402,-4384,-3132,-3752,5275,1165,-54,2241,1070,-4350,1913,-6644,-1586,-2666,-30956,-584,933,-3381,8577,-6712,474,2067,-922,-25921,958,-160,-670,-1169,-4252,-32545,-15268,1104,-4087,-18929,-492,5848,539
Colorado,2006,127,853,6684,-873,18918,0,15,185,243,1052,-411,97,-2100,827,156,554,-2085,-1708,1138,315,362,1240,719,1087,753,-1074,72,468,-4281,151,757,1140,1547,1078,-695,2856,1052,-291,1908,394,-337,-1057,-894,-1920,1229,-449,1231,152,-37,132,169
Connecticut,2006,283,-498,-1130,-50,-2869,-15,0,-429,-749,-6990,-4281,-307,-58,-1164,-731,-135,111,-66,-778,-2151,-2320,-1229,199,-766,-149,209,-260,487,-891,-1631,2193,-19,8399,-2464,-54,957,-178,172,-1283,987,-741,16,-220,998,57,-601,-2236,-946,-247,-430,-33
Delaware,2006,-392,0,-534,116,-1014,-185,429,0,-2451,-72,-1102,0,0,111,211,-17,-779,61,-330,283,2443,197,115,-37,362,239,-400,-23,-130,87,2915,-113,-203,171,0,-1851,-11,54,1648,332,-226,0,116,69,70,0,-100,95,-132,0,0
District of Columbia ,2006,-245,288,-127,-150,628,-243,749,2451,0,-448,-939,-139,-96,200,627,52,263,362,-257,113,-11444,-275,567,-19,291,-210,-60,-178,-111,170,-357,-188,889,-1346,0,507,154,-590,1073,107,-419,0,-338,1006,201,-398,-4081,327,-122,-46,-98
Florida,2006,-6243,4055,-1637,-434,462,-1052,6990,72,448,0,-40503,1818,-70,8917,2985,335,-16,-1919,11142,1031,6375,17503,17245,-29,9074,-337,-1133,-794,-596,-1010,26327,-1600,56767,-17197,-114,-1593,-1881,-1593,2170,831,-7614,179,-16127,-9164,-561,122,1337,-1990,144,2839,-301
Georgia,2006,-6273,630,1940,1264,11278,411,4281,1102,939,40503,0,-1130,346,9822,2938,2065,-1268,-743,15028,1269,2934,2908,1449,1517,2254,1304,867,645,371,573,6088,-1020,19505,1026,30,1478,1790,-881,4432,414,-1224,389,869,-508,-55,96,5260,692,1952,2279,365
Hawaii,2006,-20,1716,-1122,-853,38,-97,307,0,139,-1818,1130,0,-786,387,-208,83,259,-154,-692,328,-1168,190,-306,14,73,-812,-397,-178,-2482,440,265,121,1414,-1022,-107,568,-66,-1782,1714,162,-1169,-137,432,-3778,-821,-50,-57,-1491,-49,233,101
Idaho,2006,117,333,-1490,-167,7051,2100,58,0,96,70,-346,786,0,-1462,-277,2088,539,117,-220,83,-45,-186,-20,655,483,250,2247,-851,468,471,-643,-75,176,-1354,-101,315,154,2940,411,6,-425,777,-182,2987,-3116,-18,141,892,40,255,827
Illinois,2006,-3380,1393,-3420,-505,-9827,-827,1164,-111,-200,-8917,-9822,-387,1462,0,-13278,-4711,851,-1460,1483,258,281,-1903,2117,-4778,-705,-1257,-469,390,-1594,-16,418,-1438,413,-2465,88,-1164,-1174,310,1009,146,-1480,-275,-173,-9701,-907,511,-6582,-2467,-14,-4050,-360
Indiana,2006,-1627,-317,-1103,335,402,-156,731,-211,-627,-2985,-2938,208,277,13278,0,-1183,-113,-692,1617,-351,211,-725,6736,-1609,-464,2205,147,253,-1369,-1,131,61,1548,-102,139,2641,-184,130,-838,-346,-1541,-237,-2321,-2060,1787,62,-1179,-131,601,2225,-287
Iowa,2006,-153,-268,-3333,-214,4384,-554,135,17,-52,-335,-2065,-83,-2088,4711,1183,0,560,-1235,-101,179,392,-372,1058,2051,524,-409,-220,2204,-182,47,-770,529,290,76,149,861,-1156,1288,-214,-75,-274,-430,-348,1362,729,0,915,-34,133,1176,432
Kansas,2006,557,119,-19,465,3132,2085,-111,779,-263,16,1268,-259,-539,-851,113,-560,0,711,1251,134,273,277,-1392,-90,325,8851,570,-679,111,-12,895,870,1915,1268,25,1563,-2300,59,130,-225,799,721,890,-2281,1165,22,68,-1568,138,-17,253
Kentucky,2006,596,-54,-1695,-679,3752,1708,66,-61,-362,1919,743,154,-117,1460,692,1235,-711,0,-237,461,2020,352,1368,292,526,2145,-26,-156,417,57,-25,-633,1782,2380,-175,1001,239,-382,243,100,-910,-181,1660,901,-642,73,568,284,630,55,78
Louisiana,2006,-7453,-180,-2374,-5730,-5275,-1138,778,330,257,-11142,-15028,692,220,-1483,-1617,101,-1251,237,0,-250,-1711,-1327,297,-1610,-8076,-2302,65,-266,-893,-627,-841,-307,-634,-4041,-96,-2294,-1667,-1085,-116,-249,-598,-402,-5671,-88075,-774,0,-4651,-2239,-357,-791,155
