Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Louisiana,2008,-2198,-140,-117,1136,1824,208,220,99,-32,-780,-2964,139,-229,1118,-721,-494,1027,204,0,-32,345,-331,25,-169,-514,-175,403,-55,130,0,1427,-1070,712,148,-110,749,-358,241,107,233,1167,-31,-1873,1976,-699,82,46,-464,-167,589,1156
Maine,2008,381,71,-475,-76,29,403,657,-58,203,428,437,-370,0,-564,-19,73,-342,-119,32,0,-821,-68,-14,167,0,-292,-211,0,120,2810,201,197,-392,529,58,16,230,-197,-120,-290,-191,56,-348,572,158,-303,-197,-285,0,-178,0
Maryland,2008,927,1791,4,116,-1839,182,1344,-2037,11255,-1970,-211,-1729,-140,-57,-1535,559,451,-1611,-345,821,0,-1229,-965,244,559,-430,-126,-60,-799,-975,697,-301,3665,-7095,-45,-1881,248,-72,-5778,-81,-2369,90,2173,192,664,191,-5943,-117,-2773,-363,-210
Massachusetts,2008,506,509,-2081,78,91,-467,-75,-1326,-316,-538,-2526,37,-424,2046,335,-67,-644,-387,331,68,1229,0,-915,1357,-118,241,-519,-66,-548,-2853,3279,-859,4239,-2885,-389,-1556,274,-984,-375,3684,-1941,-27,464,494,77,586,-1149,-1080,-157,87,0
Michigan,2008,-2122,1129,-6723,-1518,-4970,-1459,57,54,-80,-4902,-4988,152,-108,-3346,-7455,-573,-1032,-3639,-25,14,965,915,0,-1445,-1817,-3685,-1078,-259,-2515,-372,-773,-1542,-218,-2342,7,-3498,-754,-483,-147,-905,-2688,-806,-4283,-5001,233,-274,-2735,-2503,609,1614,-649
Minnesota,2008,-137,-38,-7262,-1460,868,-1174,22,-51,359,-321,-458,-675,-854,2759,581,-200,1202,-125,169,-167,-244,-1357,1445,0,-850,-118,-190,-509,-219,-59,-916,-326,-3,293,-4224,-501,-545,332,-552,-330,121,627,694,-3823,1068,-191,497,134,234,-1818,-158
Mississippi,2008,-1784,156,-14,-1597,162,-370,104,-50,-91,555,-183,507,-19,1141,-407,-217,-274,305,514,0,-559,118,1817,850,0,-25,345,-271,115,60,13,107,627,-369,-183,628,-282,-48,421,95,-945,639,1368,-3427,1265,-54,1772,-36,293,260,-429
Missouri,2008,-401,-84,-2045,718,-669,1490,-173,740,-85,2467,1389,480,216,6609,-890,609,-2458,-1174,175,292,430,-241,3685,118,25,0,-784,-1707,-515,80,-515,35,-1148,1211,1021,-873,-754,-327,-946,101,165,-337,200,-643,-75,252,274,-1407,432,-1987,1086
Montana,2008,-192,528,-454,870,2397,-361,127,0,-29,-146,548,-151,1165,677,-115,205,14,436,-403,211,126,519,1078,190,-345,784,0,200,583,0,387,63,115,136,-1964,361,-527,-480,-475,0,51,419,-412,-50,-71,-94,-93,1944,1157,-292,-535
Nebraska,2008,-129,539,-477,-885,2150,605,-15,43,286,1768,-145,312,-5,795,-232,-2104,-1498,83,55,0,60,66,259,509,271,1707,-200,0,-501,-157,760,-1045,363,47,189,-73,469,-268,95,60,-40,-1545,-21,-1456,-1451,0,-797,-747,-62,787,-56
Nevada,2008,1469,444,-2688,-314,11495,-2839,373,-63,120,2179,1534,1760,-963,3629,122,-164,-335,-102,-130,-120,799,548,2515,219,-115,515,-583,501,0,-110,-138,-1434,3184,-1485,144,4416,389,-1110,-1115,0,-1102,421,-302,-1212,-3419,-345,-572,649,18,676,-986
New Hampshire,2008,-76,750,1280,-26,342,-246,1399,-232,80,2251,-113,-428,-26,171,-390,0,0,28,0,-2810,975,2853,372,59,-60,-80,0,157,110,0,236,668,-341,-363,0,495,-1369,205,-631,261,-506,0,-882,-64,-195,896,-17,-15,0,257,0
New Jersey,2008,-281,2066,1033,216,-2635,-2342,-722,-1841,-823,-16476,-4493,-109,53,619,-756,-97,138,-20,-1427,-201,-697,-3279,773,916,-13,515,-387,-760,138,-236,0,-1624,13845,-8054,0,-805,-1123,-27,-14690,960,-4233,-65,-1260,-7586,137,-268,-6144,-1019,-600,458,75
New Mexico,2008,-241,-66,3542,-324,3573,-2355,-60,-99,265,738,406,422,-707,1185,288,200,-610,-142,1070,-197,301,859,1542,326,-107,-35,-63,1045,1434,-668,1624,0,-736,-607,-92,-1060,-1562,-467,170,-576,450,-279,-535,-7928,-656,-13,896,218,-363,-11,620
New York,2008,-2319,2466,-4965,-39,-10198,484,-1867,-2166,915,-24034,-13282,1284,-450,993,-1240,-885,785,-2059,-712,392,-3665,-4239,218,3,-627,1148,-115,-363,-3184,341,-13845,736,0,-23161,304,-1318,-374,-1137,-20311,1731,-4482,-252,-1683,-7561,42,-1135,-6553,-2949,7,-1317,153
North Carolina,2008,2130,709,-2504,118,5246,2061,2498,1005,588,20409,2829,-1207,-103,300,2141,1285,-514,338,-148,-529,7095,2885,2342,-293,369,-1211,-136,-47,1485,363,8054,607,23161,0,-584,5733,305,410,5310,299,-1489,106,460,-2880,73,89,-2082,1668,-402,114,-95
North Dakota,2008,0,-152,-1204,119,272,-1141,103,-758,0,307,-301,354,-389,-120,-140,-731,86,0,110,-58,45,389,-7,4224,183,-1021,1964,-189,-144,0,0,92,-304,584,0,-305,413,531,31,0,31,259,-12,-446,-532,10,-496,578,49,-34,152
Ohio,2008,-23,2213,-5132,-308,-1391,-759,1376,434,-196,-7707,-1058,-76,45,2057,-4659,1300,177,-3419,-749,-16,1881,1556,3498,501,-628,873,-361,73,-4416,-495,805,1060,1318,-5733,305,0,-592,-600,501,-25,-1371,21,-1842,-8566,-2078,66,398,1575,-5114,-986,-708
Oklahoma,2008,528,-21,1712,1086,5108,-42,342,-38,-109,1866,1047,-842,-195,763,254,1123,-258,113,358,-230,-248,-274,754,545,282,754,527,-469,-389,1369,1123,1562,374,-305,-413,592,0,-209,-259,237,-21,-61,22,4829,-432,-140,947,632,686,88,684
Oregon,2008,676,-72,-4476,-530,13128,-978,-9,209,-235,1292,-427,2657,1855,971,-1353,-142,303,-858,-241,197,72,984,483,-332,48,327,480,268,1110,-205,27,467,1137,-410,-531,600,209,0,1385,103,722,795,-81,-2230,-3747,-183,1121,-6923,82,993,31
Pennsylvania,2008,-704,-100,-3400,-246,-2329,-1904,2247,-599,-726,-3021,-3230,-1398,-140,3975,-2392,-71,411,174,-107,120,5778,375,147,552,-421,946,475,-95,1115,631,14690,-170,20311,-5310,-31,-501,259,-1385,0,-635,-3602,-296,-1288,-3598,349,330,-1802,-1285,-1771,-519,-289
Rhode Island,2008,0,119,-1026,233,255,-76,-128,66,-336,-1016,381,-175,0,-175,-71,90,0,0,-233,290,81,-3684,905,330,-95,-101,0,-60,0,-261,-960,576,-1731,-299,0,25,-237,-103,635,0,-551,41,78,-323,194,-25,746,29,250,-26,179
South Carolina,2008,-135,-700,-588,-314,1267,-1886,696,-43,448,8762,2039,255,188,2219,-1022,243,-758,449,-1167,191,2369,1941,2688,-121,945,-165,-51,40,1102,506,4233,-450,4482,1489,-31,1371,21,-722,3602,551,0,-8,351,-1850,-325,870,2663,-349,-796,165,0
South Dakota,2008,267,-222,-39,-34,336,1029,47,0,339,-1703,-194,-137,-223,469,35,-131,-213,7,31,-56,-90,27,806,-627,-639,337,-419,1545,-421,0,65,279,252,-106,-259,-21,61,-795,296,-41,8,0,-122,-280,-32,0,167,-31,51,-770,-546
Tennessee,2008,-1928,1783,-946,-99,3338,575,625,18,31,12709,3137,-104,58,3516,1750,-681,-608,754,1873,348,-2173,-464,4283,-694,-1368,-200,412,21,302,882,1260,535,1683,-460,12,1842,-22,81,1288,-78,-351,122,0,-5625,28,1,-545,-1739,1680,1296,84
Texas,2008,-57,5420,4125,-6210,31851,-653,1076,220,526,15582,1156,1677,2039,7201,2400,-1425,2449,-440,-1976,-572,-192,-494,5001,3823,3427,643,50,1456,1212,64,7586,7928,7561,2880,446,8566,-4829,2230,3598,323,1850,280,5625,0,-2325,-260,3330,-1353,1277,3694,2113
Utah,2008,-222,1628,4222,398,8630,398,537,0,71,2188,536,271,-4036,255,257,-1006,-515,-734,699,-158,-664,-77,-233,-1068,-1265,75,71,1451,3419,195,-137,656,-42,-73,532,2078,432,3747,-349,-194,325,32,-28,2325,0,-18,-979,251,-16,2271,1567
Vermont,2008,0,252,-18,0,170,401,-516,0,0,-1258,-341,-110,-252,88,189,310,-190,-690,-82,303,-191,-586,274,191,54,-252,94,0,345,-896,268,13,1135,-89,-10,-66,140,183,-330,25,-870,0,-1,260,18,0,125,-345,51,-26,27
Virginia,2008,1227,4,925,-1545,857,-381,1349,-1887,1495,-194,1188,-1308,1121,3794,-181,-846,-1213,-127,-46,197,5943,1149,2735,-497,-1772,-274,93,797,572,17,6144,-896,6553,2082,496,-398,-947,-1121,1802,-746,-2663,-167,545,-3330,979,-125,0,-446,458,750,375
Washington,2008,95,1529,-1882,-140,11402,2684,-167,-550,185,1872,1664,-101,-28,-129,-439,1173,554,1251,464,285,117,1080,2503,-134,36,1407,-1944,747,-649,15,1019,-218,2949,-1668,-578,-1575,-632,6923,1285,-29,349,31,1739,1353,-251,345,446,0,285,238,-264
West Virginia,2008,163,778,-297,-458,-404,90,-36,264,338,-782,-508,-42,0,-452,-471,0,-205,1350,167,0,2773,157,-609,-234,-293,-432,-1157,62,-18,0,600,363,-7,402,-49,5114,-686,-82,1771,-250,796,-51,-1680,-1277,16,-51,-458,-285,0,-166,33
Wisconsin,2008,-967,1248,-1464,-95,-87,-764,-1206,-144,-197,-1456,-955,-171,247,9558,-2134,208,-828,-427,-589,178,363,-87,-1614,1818,-260,1987,292,-787,-676,-257,-458,11,1317,-114,34,986,-88,-993,519,26,-165,770,-1296,-3694,-2271,26,-750,-238,166,0,-132
Wyoming,2008,368,-123,-977,403,124,-94,-376,-109,0,635,-71,-251,-996,692,33,472,160,-152,-1156,0,210,0,649,158,429,-1086,535,56,986,0,-75,-620,-153,95,-152,708,-684,-31,289,-179,0,546,-84,-2113,-1567,-27,-375,264,-33,132,0
Alabama,2009,0,-408,791,-70,1558,-583,-1833,-153,-104,6620,2587,-377,998,1218,1217,197,-866,-139,2109,694,1591,-311,630,95,1495,-1607,456,-58,107,-248,414,-2016,-163,2050,-273,939,3,-1053,310,448,-2,-180,-1531,180,46,-64,2931,-188,-773,452,258
Alaska,2009,408,0,-964,-759,-1552,245,-191,-57,-193,-3282,977,-871,33,-301,442,-194,-898,-1412,1111,-10,-855,-1702,-626,767,91,-32,163,-324,-874,20,-789,-518,-2275,-896,-905,-19,-358,-3484,-709,-2076,134,299,128,-6728,3,0,-1719,421,-1272,445,16
Arizona,2009,-791,964,0,453,12881,-1542,789,-363,858,-1173,4329,2790,-1990,7873,1202,1077,-228,-1184,54,156,-1861,402,7800,3590,146,337,-637,1252,985,907,824,-695,676,980,263,984,-2807,574,1851,-164,-464,830,-3429,-8985,-2312,15,-1130,1641,-150,1472,501
Arkansas,2009,70,759,-453,0,1298,34,139,0,-106,1053,-630,115,-87,1697,159,-298,1484,1004,2979,424,338,-144,1361,535,-774,1857,-133,-81,1362,-96,315,284,1044,-277,-4,198,-133,341,-562,0,241,99,1813,3180,407,-46,-411,-188,-292,94,-185
California,2009,-1558,1552,-12881,-1298,0,-4425,-135,-122,-1029,-3444,-6161,1222,-2642,3587,605,66,-1994,-989,661,-104,5266,-1810,3988,2755,137,1142,-369,-1872,-7429,586,-14,-1382,3167,-2242,-603,-106,-6498,-10818,-1844,-781,-71,-1473,-545,-26166,-2222,253,-2698,-9285,654,2597,-467
Colorado,2009,583,-245,1542,-34,4425,0,-471,75,552,-3208,578,882,112,988,2721,161,-297,-627,701,95,662,427,4078,2068,367,1334,-684,1725,3027,54,1016,4769,949,1587,-241,528,-179,-309,-620,449,465,10,27,-534,-1717,-476,465,-649,-297,184,994
Connecticut,2009,1833,191,-789,-139,135,471,0,-400,-49,-3759,-1129,70,-474,571,183,-1059,766,279,80,-1160,-99,-2976,-25,-837,-477,-607,36,-288,-233,819,-1928,78,6791,-3243,-84,294,125,-626,-1753,-927,-2094,-11,33,-979,307,-322,-2852,29,0,-497,205
Delaware,2009,153,57,363,0,122,-75,400,0,-489,-2036,134,-139,0,-25,-25,-85,48,-137,-84,23,638,1747,-66,0,-89,-82,0,-19,0,273,1158,5,2458,-1573,0,261,-43,55,3263,-19,-561,59,-118,-1467,-4,0,1979,-97,-153,-66,0
District of Columbia ,2009,104,193,-858,106,1029,-552,49,489,0,731,249,-69,0,129,-179,-275,21,-63,-165,390,-11229,-642,203,56,-44,-295,66,-12,-20,72,372,-366,74,-378,0,155,-30,2,-448,-39,15,58,-532,-479,-178,9,-2444,-57,-21,344,54
Florida,2009,-6620,3282,1173,-1053,3444,3208,3759,2036,-731,0,-9335,-1377,-1562,1010,6785,606,-784,-939,-4273,2954,-4355,-795,7121,1911,-707,11,-1439,-2802,-2057,4052,1739,-235,22607,671,-405,7705,-1662,-542,6315,1397,-2085,-81,-2294,-18470,-89,516,1275,1561,-310,1721,-434
Georgia,2009,-2587,-977,-4329,630,6161,-578,1129,-134,-249,9335,0,-205,173,3170,4310,-450,-1498,2326,-1252,-426,2790,2573,6311,-269,-280,-633,50,-530,543,-194,57,-959,4388,-163,-35,6490,-1029,2929,347,-464,-4458,178,-1796,-3023,-1009,146,2104,-1907,-687,-444,600
Hawaii,2009,377,871,-2790,-115,-1222,-882,-70,139,69,1377,205,0,176,-880,-356,-246,-546,468,-40,193,-500,-746,2298,302,-103,-907,665,-68,-1410,170,64,371,711,701,0,-346,490,-1763,-369,6,-397,224,-1203,-3827,-1051,125,-1381,674,-170,-276,-159
Idaho,2009,-998,-33,1990,87,2642,-112,474,0,0,1562,-173,-176,0,-363,-1075,28,200,-55,-869,358,-703,30,81,348,27,-30,97,0,-212,0,80,321,-339,802,-30,-379,246,-2583,-582,-22,-479,105,-783,-559,-3315,-26,-111,3778,-530,143,43
Illinois,2009,-1218,301,-7873,-1697,-3587,-988,-571,25,-129,-1010,-3170,880,363,0,-8501,-872,-315,-740,384,5,-1043,-2808,373,-784,-3218,-10866,-775,-1298,34,-237,-216,-799,2280,-278,-6,44,-510,-1051,632,663,-351,-681,500,-11434,-676,57,-948,-1240,132,-8727,70
Indiana,2009,-1217,-442,-1202,-159,-605,-2721,-183,25,179,-6785,-4310,356,1075,8501,0,-1267,-1949,-2237,-197,207,-498,-1353,5833,-338,-215,-577,-277,405,-658,1238,263,-1077,904,-1743,-181,3568,-153,-229,622,139,-250,303,-3265,-2206,979,627,-389,-754,-59,446,406
Iowa,2009,-197,194,-1077,298,-66,-161,1059,85,275,-606,450,246,-28,872,1267,0,129,306,978,252,-70,193,487,-258,525,-2896,278,300,820,0,127,-506,106,-702,995,91,-1097,-326,293,0,125,1023,-587,557,-460,-182,-464,243,0,937,621
Kansas,2009,866,898,228,-1484,1994,297,-766,-48,-21,784,1498,546,-200,315,1949,-129,0,-892,585,4,-622,494,1897,840,-20,5550,233,-1881,1635,107,1641,911,229,-1506,309,500,1279,-668,-1177,663,167,481,1284,-2195,-415,0,-1067,-155,0,-1258,-18
Kentucky,2009,139,1412,1184,-1004,989,627,-279,137,63,939,-2326,-468,55,740,2237,-306,892,0,-2,147,-325,873,2604,214,267,-780,68,-87,-383,828,228,150,2769,-1628,-327,2979,1583,-1549,1112,-132,1314,-30,4462,2804,245,71,2046,192,1633,526,0
Louisiana,2009,-2109,-1111,-54,-2979,-661,-701,-80,84,165,4273,1252,40,869,-384,197,-978,-585,2,0,-229,538,223,189,315,3228,-554,-53,-19,578,-58,507,277,-304,-553,107,840,443,-999,1366,82,-1196,327,78,-1581,367,-316,-372,-68,324,25,-255
Maine,2009,-694,10,-156,-424,104,-95,1160,-23,-390,-2954,426,-193,-358,-5,-207,-252,-4,-147,229,0,-990,-710,-38,229,-107,-390,-20,0,0,1603,350,35,399,-1067,0,-88,-16,-18,-350,37,-290,-234,283,-430,22,-38,-2022,-238,266,145,95
Maryland,2009,-1591,855,1861,-338,-5266,-662,99,-638,11229,4355,-2790,500,703,1043,498,70,622,325,-538,990,0,306,2556,157,1034,1409,-183,-299,-123,171,3721,93,4928,-1378,-294,244,-923,139,-4807,-78,1618,0,1003,-2351,182,766,-4176,-729,709,586,0
Massachusetts,2009,311,1702,-402,144,1810,-427,2976,-1747,642,795,-2573,746,-30,2808,1353,-193,-494,-873,-223,710,-306,0,2104,1098,-155,892,50,-309,224,-4209,2868,-477,5170,-2360,153,-127,-140,-658,-56,-631,-1342,-46,65,-1920,-585,-527,-132,457,69,540,-60
Michigan,2009,-630,626,-7800,-1361,-3988,-4078,25,66,-203,-7121,-6311,-2298,-81,-373,-5833,-487,-1897,-2604,-189,38,-2556,-2104,0,-626,-743,133,-214,-942,-936,121,1408,-555,-2884,-6501,-328,-3454,-72,6,-2325,-8,-1660,-355,-4341,-6302,-295,148,-5173,-1430,-1865,432,-963
Minnesota,2009,-95,-767,-3590,-535,-2755,-2068,837,0,-56,-1911,269,-302,-348,784,338,258,-840,-214,-315,-229,-157,-1098,626,0,26,-793,245,-271,-894,74,93,123,354,1753,-6404,-1376,646,-320,104,-169,74,-2177,92,-2240,-699,268,671,762,27,252,79
Mississippi,2009,-1495,-91,-146,774,-137,-367,477,89,44,707,280,103,-27,3218,215,-525,20,-267,-3228,107,-1034,155,743,-26,0,-382,-395,-418,-45,-187,-63,-381,204,-1802,-36,540,-410,-94,-714,-59,-290,19,1201,-1305,-191,0,-685,-832,-838,702,0
Missouri,2009,1607,32,-337,-1857,-1142,-1334,607,82,295,-11,633,907,30,10866,577,2896,-5550,780,554,390,-1409,-892,-133,793,382,0,38,-1086,658,-130,1201,-1426,330,-1179,172,1350,-1222,514,1333,189,-975,1110,16,-2985,97,9,3308,-1540,536,3727,-1615
Montana,2009,-456,-163,637,133,369,684,-36,0,-66,1439,-50,-665,-97,775,277,-278,-233,-68,53,20,183,-50,214,-245,395,-38,0,-197,771,-417,60,-292,-510,515,-638,30,4,-399,109,3,-53,-1412,417,-444,-661,0,-365,1651,45,553,-774
Nebraska,2009,58,324,-1252,81,1872,-1725,288,19,12,2802,530,68,0,1298,-405,-300,1881,87,19,0,299,309,942,271,418,1086,197,0,116,408,-115,-636,200,-134,582,-289,-210,-473,3,-13,465,-811,-687,717,-902,207,-911,1925,-169,595,424
Nevada,2009,-107,874,-985,-1362,7429,-3027,233,0,20,2057,-543,1410,212,-34,658,-820,-1635,383,-578,0,123,-224,936,894,45,-658,-771,-116,0,763,206,-1730,-1499,253,430,-954,-1012,-794,-1322,85,-639,247,-203,-1120,59,-30,409,-876,-85,-8,236
New Hampshire,2009,248,-20,-907,96,-586,-54,-819,-273,-72,-4052,194,-170,0,237,-1238,0,-107,-828,58,-1603,-171,4209,-121,-74,187,130,417,-408,-763,0,260,0,85,-985,0,-286,-28,249,293,192,-1240,324,-288,-3,3,-1719,-609,-195,0,6,0
New Jersey,2009,-414,789,-824,-315,14,-1016,1928,-1158,-372,-1739,-57,-64,-80,216,-263,-127,-1641,-228,-507,-350,-3721,-2868,-1408,-93,63,-1201,-60,115,-206,-260,0,-519,5062,-9767,-150,-65,-756,-589,-18053,-796,-3396,-57,-1149,-2445,-251,-493,-5970,-909,-407,-293,-44
New Mexico,2009,2016,518,695,-284,1382,-4769,-78,-5,366,235,959,-371,-321,799,1077,506,-911,-150,-277,-35,-93,477,555,-123,381,1426,292,636,1730,0,519,0,-948,-922,-143,287,-1596,-130,182,0,-84,-21,-828,-5483,1756,18,436,-682,102,-395,-142
New York,2009,163,2275,-676,-1044,-3167,-949,-6791,-2458,-74,-22607,-4388,-711,339,-2280,-904,-106,-229,-2769,304,-399,-4928,-5170,2884,-354,-204,-330,510,-200,1499,-85,-5062,948,0,-9347,-66,-4629,-299,-176,-9937,-422,-6888,-368,-2625,-2724,-1279,1734,-9568,-3215,-122,-309,214
North Carolina,2009,-2050,896,-980,277,2242,-1587,3243,1573,378,-671,163,-701,-802,278,1743,702,1506,1628,553,1067,1378,2360,6501,-1753,1802,1179,-515,134,-253,985,9767,922,9347,0,-182,5916,-476,-1392,2556,1063,-2094,-228,-553,-2872,-38,2010,5678,-1145,2650,870,274
North Dakota,2009,273,905,-263,4,603,241,84,0,0,405,35,0,30,6,181,-995,-309,327,-107,0,294,-153,328,6404,36,-172,638,-582,-430,0,150,143,66,182,0,82,-272,122,-63,0,-33,-436,96,431,280,0,-128,-98,-124,59,387
Ohio,2009,-939,19,-984,-198,106,-528,-294,-261,-155,-7705,-6490,346,379,-44,-3568,-91,-500,-2979,-840,88,-244,127,3454,1376,-540,-1350,-30,289,954,286,65,-287,4629,-5916,-82,0,-1191,-225,-1310,-256,-3538,-401,601,-6528,620,177,957,-479,-1271,-1452,-88
Oklahoma,2009,-3,358,2807,133,6498,179,-125,43,30,1662,1029,-490,-246,510,153,1097,-1279,-1583,-443,16,923,140,72,-646,410,1222,-4,210,1012,28,756,1596,299,476,272,1191,0,-280,399,147,-186,-186,-749,6653,751,191,1512,468,1,163,659
Oregon,2009,1053,3484,-574,-341,10818,309,626,-55,-2,542,-2929,1763,2583,1051,229,326,668,1549,999,18,-139,658,-6,320,94,-514,399,473,794,-249,589,130,176,1392,-122,225,280,0,-332,-1,-503,-554,355,1261,-821,303,400,-3130,901,80,1311
Pennsylvania,2009,-310,709,-1851,562,1844,620,1753,-3263,448,-6315,-347,369,582,-632,-622,-293,1177,-1112,-1366,350,4807,56,2325,-104,714,-1333,-109,-3,1322,-293,18053,-182,9937,-2556,63,1310,-399,332,0,424,-4113,335,-82,-3570,1766,-280,1089,378,989,1276,59
Rhode Island,2009,-448,2076,164,0,781,-449,927,19,39,-1397,464,-6,22,-663,-139,0,-663,132,-82,-37,78,631,8,169,59,-189,-3,13,-85,-192,796,0,422,-1063,0,256,-147,1,-424,0,187,13,652,-1058,-106,296,1612,-126,0,-700,-107
South Carolina,2009,2,-134,464,-241,71,-465,2094,561,-15,2085,4458,397,479,351,250,-125,-167,-1314,1196,290,-1618,1342,1660,-74,290,975,53,-465,639,1240,3396,84,6888,2094,33,3538,186,503,4113,-187,0,170,-126,-4902,45,529,-1934,524,-600,425,426
South Dakota,2009,180,-299,-830,-99,1473,-10,11,-59,-58,81,-178,-224,-105,681,-303,-1023,-481,30,-327,234,0,46,355,2177,-19,-1110,1412,811,-247,-324,57,21,368,228,436,401,186,554,-335,-13,-170,0,74,-600,961,127,299,376,-153,223,-1154
Tennessee,2009,1531,-128,3429,-1813,545,-27,-33,118,532,2294,1796,1203,783,-500,3265,587,-1284,-4462,-78,-283,-1003,-65,4341,-92,-1201,-16,-417,687,203,288,1149,828,2625,553,-96,-601,749,-355,82,-652,126,-74,0,-3057,-526,-17,-2998,1089,104,-81,-306
Texas,2009,-180,6728,8985,-3180,26166,534,979,1467,479,18470,3023,3827,559,11434,2206,-557,2195,-2804,1581,430,2351,1920,6302,2240,1305,2985,444,-717,1120,3,2445,5483,2724,2872,-431,6528,-6653,-1261,3570,1058,4902,600,3057,0,-334,81,4459,-697,-370,-220,29
Utah,2009,-46,-3,2312,-407,2222,1717,-307,4,178,89,1009,1051,3315,676,-979,460,415,-245,-367,-22,-182,585,295,699,191,-97,661,902,-59,-3,251,-1756,1279,38,-280,-620,-751,821,-1766,106,-45,-961,526,334,0,-207,-2179,2101,-379,87,-2535
Vermont,2009,64,0,-15,46,-253,476,322,0,-9,-516,-146,-125,26,-57,-627,182,0,-71,316,38,-766,527,-148,-268,0,-9,0,-207,30,1719,493,-18,-1734,-2010,0,-177,-191,-303,280,-296,-529,-127,17,-81,207,0,-678,55,-293,-6,240
Virginia,2009,-2931,1719,1130,411,2698,-465,2852,-1979,2444,-1275,-2104,1381,111,948,389,464,1067,-2046,372,2022,4176,132,5173,-671,685,-3308,365,911,-409,609,5970,-436,9568,-5678,128,-957,-1512,-400,-1089,-1612,1934,-299,2998,-4459,2179,678,0,152,-1597,-241,782
Washington,2009,188,-421,-1641,188,9285,649,-29,97,57,-1561,1907,-674,-3778,1240,754,-243,155,-192,68,238,729,-457,1430,-762,832,1540,-1651,-1925,876,195,909,682,3215,1145,98,479,-468,3130,-378,126,-524,-376,-1089,697,-2101,-55,-152,0,880,-124,-253
West Virginia,2009,773,1272,150,292,-654,297,0,153,21,310,687,170,530,-132,59,0,0,-1633,-324,-266,-709,-69,1865,-27,838,-536,-45,169,85,0,407,-102,122,-2650,124,1271,-1,-901,-989,0,600,153,-104,370,379,293,1597,-880,0,-153,0
Wisconsin,2009,-452,-445,-1472,-94,-2597,-184,497,66,-344,-1721,444,276,-143,8727,-446,-937,1258,-526,-25,-145,-586,-540,-432,-252,-702,-3727,-553,-595,8,-6,293,395,309,-870,-59,1452,-163,-80,-1276,700,-425,-223,81,220,-87,6,241,124,153,0,-64
Wyoming,2009,-258,-16,-501,185,467,-994,-205,0,-54,434,-600,159,-43,-70,-406,-621,18,0,255,-95,0,60,963,-79,0,1615,774,-424,-236,0,44,142,-214,-274,-387,88,-659,-1311,-59,107,-426,1154,306,-29,2535,-240,-782,253,0,64,0
Alabama,2010,0,2536,260,76,463,324,-442,683,-149,-768,7804,-482,-72,1106,2443,339,605,-194,-3839,-305,-925,-148,-69,120,-1073,554,17,-63,115,-152,-260,-101,2376,-673,60,933,-732,85,1108,-136,627,-294,-1488,-2136,1243,0,-181,-151,0,603,-145
Alaska,2010,-2536,0,-1755,-887,-5673,-295,0,-68,-577,-3572,-2394,962,-2369,-1376,-168,-257,-944,-1577,-1404,150,-1968,-1784,-117,-639,-929,-1051,-34,180,-271,316,30,-548,-4815,-920,-997,-1400,58,-234,-2059,0,-1549,506,134,-7490,-524,169,-2582,-3223,-1326,-640,81
Arizona,2010,-260,1755,0,-88,13310,-4600,-185,678,-662,3805,1707,568,-939,6329,480,1525,-303,-893,54,-13,160,-123,3157,1256,85,1579,-566,-572,2524,-480,157,-1698,3969,1616,164,510,151,166,1867,79,853,606,770,-1816,-983,599,-394,6674,595,3702,-918
Arkansas,2010,-76,887,88,0,285,1501,117,0,-1,-33,3322,129,573,2027,-826,-162,2015,1982,1630,-67,33,-16,870,-57,-2177,2939,-587,-280,-463,0,-181,-77,-73,1011,-168,703,2734,-7,-76,0,1131,182,-2083,-1544,45,0,-739,-394,0,303,443
California,2010,-463,5673,-13310,-285,0,-10427,152,290,-522,-1768,-89,-3149,-3213,277,-2409,316,-2268,-385,-2762,730,2420,-3002,3709,-1138,-243,-2919,-2747,-1368,-7748,-78,1331,-1915,-4196,-7106,-1019,-827,-3721,-13277,-2129,-1171,325,266,-3670,-32377,-1534,-476,-2856,-8924,686,1525,-1448
Colorado,2010,-324,295,4600,-1501,10427,0,-88,308,-177,2421,3221,1282,-533,3100,1934,-414,-1714,1632,-247,54,-969,1191,2556,357,110,75,-143,-117,1196,551,452,1069,1459,1098,-71,-21,280,2280,271,133,-636,1040,-230,5892,761,24,-490,2700,15,609,28
Connecticut,2010,442,0,185,-117,-152,88,0,-565,-595,-1976,-1871,-125,147,1127,530,-6,-85,-298,-89,-833,-72,-4760,493,723,-4,-201,-128,-361,-141,-2085,972,87,5389,-2407,-30,-11,77,370,-2052,-2362,-2858,0,-335,963,-119,-829,-733,1442,358,733,47
Delaware,2010,-683,68,-678,0,-290,-308,565,0,432,-737,-252,0,0,556,0,0,-210,125,0,120,-3371,558,-106,-121,0,225,2,-177,106,139,2135,-332,1648,-55,0,310,-109,0,2710,149,-54,0,-102,-526,0,-87,-214,175,-556,-351,0
